No.,Character,Study Word,Furigana,Translation,Grade Level,JLPT,FR
1583,日,日/日曜日,ひ/にちようび,day/sunday,G1,N5,1
1584,入,入れる/入いる,いれる/はいる,to put in/to go in,G1,N5,1
1585,乳,牛乳,ぎゅんにゅう,milk,G6,N2,1
1592,熱,熱い,あつい,hot,G4,N3,1
1593,年,年,ねん,year,G1,N5,1
1609,馬,馬,うま,horse,G2,N3,1
1614,背,背,せ,back,G6,N3,1
1617,配,心配,しんぱい,worried,G3,N3,1
1622,売,売る,うる,to sell,G2,N4,1
1624,梅,梅,うめ,plum,G4,N1,1
1628,買,買う,かう,to shop ,G2,N4,1
1630,白,白い,しろい,white,G1,N5,1
1643,箱,箱,はこ,box,G3,N3,1
1647,八,八/八つ,はち/やっつ,eight,G1,N5,1
1649,発,発表,はっぴょう,announcement,G3,N4,1
1656,半,半,はん,half,G2,N5,1
1672,飯,ご飯,ごはん,rice/meal,G4,N4,1
1679,晩,今晩は,こんばんは,night,G6,N3,1
1680,番,番/（一番）,ばん （いちばん）,number (number 1),G2,N3,1
1683,比,比べる,くらべる,compare,G5,N2,1
1688,彼,彼,かれ,he,S,N3,1
1697,悲,悲,かなし,sad,G3,N3,1
1705,美,美しい,うつくしい,beautiful,G3,N3,1
1708,鼻,鼻,はな,nose,G3,N2,1
1716,百,百,ひゃく,one hundred,G1,N5,1
1717,氷,氷,こおり,ice,G3,N2,1
1726,病,病気,びょうき,sick,G3,N4,1
1728,猫,猫,ねこ,cat,S,N3,1
1729,品,作品,さくひん,artworks,G3,N4,1
1730,浜,浜,はま,beach,S,N1,1
1736,不,不便,ふべん,inconvenient,G4,N4,1
1738,父,父,ちち,father,G2,N5,1
1764,風,風,かぜ,wind,G2,N4,1
1766,服,服,ふく,clothes,G3,N4,1
1770,福,福,ふく,good luck,G3,N3,1
1777,物,物,もの,thing (physical),G3,N4,1
1785,分,分かる/一分,わかる/ぷん,minutes or to understand,G2,N1,1
1786,文,文化,ぶんか,culture,G1,N4,1
1787,聞,聞く,きく,to hear,G2,N5,1
1795,閉,閉,しめる,to close,G6,N3,1
1801,米,米,こめ,rice,G2,N3,1
1805,別,別 に,べつに,no problem/not really,G4,N4,1
1810,変,変,へん,strange,G4,N3,1
1814,弁,弁当,べんと,bento,G5,N1,1
1815,便,便利,べんり,convenient,G4,N3,1
1816,勉,勉強,べんきょう,study,G3,N4,1
1817,歩,歩く,あるく,walk,G2,N4,1
1823,母,母,はは,mother,G2,N5,1
1829,方,方,ｘｘｘかた,how to xxx,G2,N4,1
1837,法,文法,ぶんぽ,grammar,G4,N3,1
1852,亡,亡くなる,なくなる,pass away,G6,N3,1
1854,忙,忙しい,いそがしい,busy,S,N3,1
1857,忘,忘れる,わすれる,forget,G6,N3,1
1875,北,北,きた,north,G2,N5,1
1876,木,木/木曜日,き/もくようび,tree/thursday,G1,N5,1
1880,僕,僕,ぼく,I (male/casual),S,N1,1
1886,本,本,ほん,book,G1,N5,1
1895,毎,毎,まい,every,G2,N5,1
1896,妹,妹,いもうと,little sister,G2,N4,1
1904,末,週末,しゅうまつ,weekend,G4,N3,1
1906,万,万,まん,ten thousand,G2,N5,1
1911,味,味,あじ,flavor,G3,N4,1
1918,民,国民,こくみん,nation/people of a country,G4,N3,1
1922,無,無,む,not,G4,N1,1
1923,夢,夢,ゆめ,dream,G5,N3,1
1925,娘,娘,むすめ,daughter,S,N3,1
1926,名,名前,なまえ,name ,G1,N5,1
1927,命,運命,うんめい,fate,G3,N3,1
1936,面,面倒臭い/面白い,めんどくさい/おもしろい,annoying/interesting,G3,N3,1
1941,毛,毛,け,hair,G2,N2,1
1947,目,目,め,eye,G1,N4,1
1949,門,門,もん,gate,G2,N2,1
1951,問,問　（一年間）,かん　（いちねんかん）,period of time (for a year),G3,N4,1
1953,夜,夜,よる,night,G2,N4,1
1954,野,野,の,field,G2,N4,1
1959,訳,言い訳,いいわけ,excuse,G6,N1,1
1960,薬,薬,くすり,medicine,G3,N3,1
1964,油,油/醤油,あぶら/しょうゆ,oil/soy sauce,G3,N2,1
1971,友,友,とも,friend,G2,N5,1
1972,有,有名,ゆうめい,famous,G3,N4,1
1980,遊,遊ぶ,あそぶ,play,G3,N3,1
1987,予,予約/予定,よやく/よてい,reservation/plan,G3,N3,1
1995,洋,洋服,ようふく,western clothing,G3,N4,1
2001,葉,葉,は,leaves,G3,N3,1
2005,様,様,さま,important person,G3,N3,1
2012,曜,曜　（日曜日）,よう　（にちようび）,day of the week (sunday) ,G2,N4,1
2016,欲,欲しい,ほしい,want,G6,N3,1
2022,来,来る,くる,to come,G2,N5,1
2030,卵,卵,たまご,egg,G6,N2,1
2036,利,便利,べんり,convenient,G4,N3,1
2038,理,理由,りゆ,reason,G2,N4,1
2045,立,立つ,たつ,to stand,G1,N4,1
2051,留,留守,るす,absent,G5,N3,1
2057,旅,旅行,りょこう,travel,G3,N4,1
2061,両,両方,りょうほう,both,G3,N3,1
2062,良,良かった,よかった,thats good to hear!,G4,N3,1
2074,力,力,ちから,power,G1,N4,1
2075,緑,緑,みどり,green,G3,N2,1
2076,林,林,はやし,woods,G1,N2,1
2089,冷,冷,つめたい,cold,G4,N3,1
2092,例,例えば,たとえば,example,G4,N3,1
2100,歴,歴史,れきし,history,G4,N2,1
2105,恋,恋,こい,love (romantic),S,N2,1
2110,呂,お風呂,おふろ,bath,S,N1,1
2125,六,六/六つ,ろく/むっつ,six,G1,N5,1
2129,和,和,わ,Japanese,G3,N3,1
2130,話,話す,はなす,to speak,G2,N5,1
3,挨,挨拶,あいさつ,greeting,S,N1,2
11,嵐,嵐,あらし,storm,S,N1,2
14,暗,暗い,くらい,dark,G3,N3,2
16,衣,浴衣,ゆかた,yukata,G4,N2,2
17,位,どの位,どのくらい,"how much, how many, for how long?",G4,N3,2
18,囲,雰囲気,ふんいき,atmosphere,G4,N2,2
19,医,医者,いしゃ,doctor,G3,N4,2
23,為,の為に ,のために ,for,S,N1,2
31,椅,椅子,いす,chair,S,N1,2
34,違,違う,ちがう,wrong,S,N3,2
40,育,育てる,そだてる,to grow up,G3,N3,2
45,芋,ジャガ芋,ジャガいも,potato,S,N1,2
54,陰,陰,かげ,shadow (figurative),S,N1,2
59,宇,宇宙,うちゅう,outerspace,G6,N2,2
66,運,運転/運動/運命,うんてん/うんどう/うんめい,drive/exercise/fate,G3,N4,2
67,雲,雲,くも,cloud,G2,N2,2
68,永,永遠,えいえん,eternity (poetic forever),G5,N2,2
70,英,英会話,えいかいわ,english conversation school,G4,N4,2
75,影,影,かげ,shadow,S,N1,2
78,易,易しい	,やさしい,nice,G5,N3,2
84,越,引っ越す,ひっこす,to move,S,N3,2
97,猿,猿,さる,monkey,S,N1,2
98,遠,遠い,とおい,far,G2,N3,2
99,鉛,鉛筆,えんぴつ,pencil,S,N1,2
100,塩,塩,しお,salt,G4,N2,2
101,演,演歌,えんか,Enka,G5,N3,2
110,押,押す,おす,to push,S,N3,2
121,憶,記憶,きおく,memory,S,N1,2
125,俺,俺,おれ,"""I""(tough/masculine)",S,N1,2
134,加,参加,さんか,to participate,G4,N3,2
